A	B	C	label
我做错了什么要被顶～	呃，觉得你说的很好啊，挺你上去。	好的👌，谢谢	others
为什么是两个月一回啊	你上次回复时间是8月份然后就再也没回了	oo哈哈	happy
看个电影当真了？不列颠大空战英国皇室哪儿都没去，您国呢，还没空战呢就移民美国了一大批	我很爱国，只是我觉得某些事太无奈，像天津，我只想要一个交代，你说的移民，他们愿意移民就移民，你根本不知道中国多少儿女保家卫国的英姿，抛头颅撒热血的无畏，你是英国人吧，我就是那么举个例子，是，她哪都没去，但是英国之前的绥靖政策，不也是漠视百姓的生命吗，一个英国人，汉语还不错，我估计你不过是一个在英国念完大学，忘祖之人，喝了几年洋墨水，就开始嘚瑟	答非所问	angry
昨晚做了一夜的梦全是他他来我家这边玩了但是住在另外一个小县城了离我家五十公里的地方本来说好来我家这边住的可是来的头一天我跟他提了分手真的好难过现在好想给他打电话怕他不理我怕他不接电话我也觉得好像不该打给他	打给他了让他来我家这边住他说要原路返回说我都给他说了那些话了干嘛还要来来了还要麻烦我我说你来我们见一面他说再说吧然后山上信号不好就挂了大概不来了吧不来了也好让我彻底死心吧	菇凉不要多想其实ccn说复杂也很简单的你努力过了就静待结果这是你们之间的情分和缘分想太多反而不好	others
杀人偿命！法律怎么了？	钱和权一直都是男人们争夺的。我以前不明白，但是现在发现，这大概男人保护自己和家人的潜意识吧。你没有，你或者你的家人就会被践踏，被杀了都得不到正义的审判。	对，经济很重要	others
从来没有在别人面前说过坏话，有什么忙也帮，但是她们在背后说我坏话，明明没什么的，却被当成错误，烦死了跟她们相处。每次熬夜看书回宿舍就锁门。	社会就是竞技场，你还没比就最有可能赢她们，她们当然要想法达到自己认为的公平。如果你看篮球的话就懂了，姚明每次还没拿球就会被绕前防守，就会被包夹，你在他们当中就像姚明在亚洲打球的时候待遇是一样的。但是姚明和奥尼尔比赛的时候，湖人队就不包夹他了，所以你要做的是换个环境，像姚明登录nba一样去找个更好的平台吧	谢谢你，我也在努力变得更好跟更好的人接触。感谢你的鼓励。	happy
中国好爸爸	Chinese吧	直译	others
能力至上 学历不等于能力	连学历都搞不到，能力又能有多高呢	你是否回复错了重点   推荐你去看下《暗杀教室》	others
流苏就是俗话说的穗儿	这么快就揭底了多没乐趣	b	others
一起过端午吧	标记一个端午再说	哈哈	happy
你自己有点完美主义倾向吧点赞自然有点赞的考量比如就是赞了可是你却要求不但要赞还要附上很多好话你的标准比较高是你的问题转过身去问问自己为什么我就需要别人怎样怎样呢为什么我需要别人按我的标准办事呢不按我的标准我就这么不开心这是为什么	主要是对点赞的这个人有期望	那就是正常的点个赞是个人都会这样你别太期望什么可能反而有感激的心情对你的心态有帮助你的心态好了淡然沉着了他也许会觉得很舒服慢慢地靠近别急着让人一步到位这组不是有个帖子吗说交浅言深的不好	others
至少对中国来说没啥不好的,教育医疗普及都是全三十年完成的,否则改开就是不可能完成的任务,	韩国和台湾人家不用改革开放，因为人家本来就是那个体制，如果现在朝鲜改革开放了，你觉得朝鲜人会说不是前面几十年普及的教育和医疗，要不然现在改革开放就是不可能的任务，我想朝鲜人思想开放了，不会有这种想做奴隶的想法的。	你应该去查查人均寿命增长速度,八十年代成了平台期,	others
jd更新版太幽默了目标群体你选什么	无论选哪个最终目的都是月抛	真棒	happy
差不多，我大四	看到你名字我特别想去改签名	改成啥	others
对啊其实我知道他肯定会发飙的哈哈哈如果不是真受不了他那种态度语气我都不想拉黑他	其实你不理他一阵儿就好了虽然可能也是被拉黑的节奏哈哈哈哈哈	所以我先下手为强了哈哈哈哈	happy
我这是真的，粪坑梗我是不知道的。	文风几乎一模一样，尤其卧槽那几处	那就不知道喽，而且这个回答在我草稿箱放了好久了，今天看好多人喜欢我写的东西，才发出来的。	others
有了	好可惜啊 答主有30岁就比我大好多。我23岁 去年法学本科大学毕业。答主完全不用自卑的。因为对于这种技术犯罪 大部分人还是崇拜的比较多吧…我也觉得答主很酷的 但是犯罪总是不对的 答主经历了这么多以后必定生活会更加幸福的。答主你要是年轻一点我要投怀送抱啦 哈哈哈	哈哈，认真的谢谢你。	happy
希望我们国家尽快完善弱势群体的福利保障吧	还要加大对利用别人同情心行骗或者盈利的人的惩处，不然福利再好也落实不到需要的人身上。	对。。。( ๑ŏ ﹏ ŏ๑ )	sad
幽默是简单的笑点么？是搞笑么？是个笑话？笑来自哪里？破坏才是笑的真谛。破坏规则，破坏既有的大家都认可的常规，破坏自己，破坏别人。有没有遇到过某人不小心碰头，或者全班人在门上放黑板擦，为何大家看到别人遭到破坏/受伤会发笑呢？反过来说，设局给别人的情况下，自己设的局被人拆穿，自己会尴尬，但是同时围观者会觉得好笑。这么想的话，一群人去破坏一个人，去文字围攻一个人，不也是破坏那个人的自信么？那我来再次破坏，难道不是另一种幽默？你有没有觉得咱俩对话也挺幽默的？😬	你说的破坏规则是对的，但是你的评论确实不好笑。。。你并没有破坏规则，这本来就是一个娱乐性的回答，大家都不是很认真地在说这件事，你破坏了它的娱乐性←_←还有我并不觉得咱俩的对话很幽默⊙﹏⊙	好吧	others
大概，吃泡馍的时候跟老板说汤宽，民政局的大妈才会对你另眼相看吧？话说今天雨这么大，也是辛苦了…	一切发生的太快 我还没有反应过来 证就出来了…	民政局大妈也是…手速比较快啊	others
赵丽颖一个中专生，我们好歹大学毕业，赵丽颖要真说的比你好你不羞愧?术业有专攻，赵丽颖皮囊好看是她吸引人的点，你喜欢学习能力强的人求你去粉你们学校大学霸去，你喜欢英语说的标准的去粉bbc播音员去，别再关注赵丽颖了	迪奥广告撤了哦，可惜啊	你聪明，你比赵丽颖聪明一万倍，你去给迪奥拍广告好了	angry
秒回党好厉害赞	运气好刚刚和同事说完话就看见了	哈哈哈哈开心我向来运气都很好咩哈哈哈哈哈	happy
给不给还不是在人家，哪天人家不想给了，你能抢？	不是为了抢，也不是为了占便宜。一个家庭只有一个人工作，要有一定的经济基础，要有一定数目的存款吧，至少两个人都失业也可以维持家庭运转几年没问题吧。老婆手上有全家五年开销的钱，老公每个月除了自己开销，其他收入也上交，一个健康的家庭存款应该是上升。当然他可能有一天不给了，但是孩子上幼儿园已经可以逐渐找兼职，他不给了还可以出去工作啊。但是平稳过渡的钱是足够的，也不存在要经常找老公要钱一说。如果这个基本条件不能满足，为什么要答应当全职妈妈呢？难道男人什么让步都不做就等着对方牺牲？	你可能不太清楚离开职场几年之后再去找工作情况会有多窘迫，适不适应职场先不说，技术已经跟不上了，而且你浪费这几年一般是30左右这段时间，黄金升职年龄很难补回来	others
我在新浪新闻的评论里看到过一段对光速的类似质疑：如果我把手电对着夜空，每隔五秒开关一次，那么我应该看到一段一段光柱向远处移动。  差点把我笑抽了。	实际上就是如此，最典型的应用就是摩尔斯电码。在没有确凿证据反证对方时，不要轻易嘲笑别人。	请仔细看我的回答，他质疑的是因为看不到一段段光柱，所以教科书上光的速度肯定是不对的。	others
只有我一个人觉得张艾亚这集非常假吗	徐建国说不是每个有童年的人都会跳绳的吗我记得跳绳好像是体育考试要达标的啊	哈哈说的很对啊估计她没有童年	happy
按照你的评价标准，“担心被喷”就要被说成是“不算好心”，那是不是劝解的人必须完全不在意自己的处境，完全无私的帮忙才算“好心”？这样的评价标准除了让人觉得“善心”令人难以达到，从而更加不愿意作为，有何益处？凭什么做好事就不能有顾虑呢？	唉，这种事情根本不是三言两语说得清楚的，请你不要在引用我的话时擅自在引号里多加一个否定词好吗？对见义勇为的认可并不代表就不寄希望于法制。这种抠字眼的论战于我而言意义不大，并不想做键盘侠，不会回复了。祝好。	你对于见义勇为不是“认可”而是“应该”，“应该是”是说在道德层面上某人需要去做某事。而我认可并且也敬佩见义勇为，到不认为是不相关的人“应该”做的（我认为及时报警就足够了）。这是观念上的区别，不是抠字眼。另外，带引号的内容并没有歪曲你的本意，在那一点上我和你并没有分歧。	others
国家到底是怎么了	能问吗 为什么都觉得好笑	都是苦笑。反正也改变不了，只能苦中作乐了	sad
我之前也在政府部门实习过一个月 感觉真是闲的闲死 忙的忙死。我也看到过我们局大领导的工资，不算各种福利的话，不是太高。可能我还是适合865的工作	都是生活喽，其实也不是都一样，每个县区政策都不一样。家里有点关系背景其实也不差了。	感谢你的回答 我会综合考虑的 祝你工作顺利	others
自己动手设计装修的小客栈和大家一起分享哦	马克顶一个	谢谢你的喜欢呵呵	happy
还有，最后一点，我反复说了，有口音是正常的，大家都有口音，要把日常交流短时间改口音是很难很难的，但这是一句话。如果你坚持认为，这一句话很难很难，真的怎么练都练不会，那也无所谓了	我认为你说的这些问题答主已经分析得很透彻了。还有拿love这个词举例子不存在什么过不过分的，我在教育机构实习过，有些孩子的口音存在的问题的点都不一样，矫正起来也有难度，孩子尚且如此，更别说一个英语基础薄弱学习模仿能力低于孩子的成年人了。可能你还是存在偏见觉得英语口语一句话矫正很简单，赵丽颖就是没练就是不敬业，对于你这种人我觉得没有必要再争论下去。	还有，小孩子没有成年人的决心和毅力，英语基础也是从0开始，举的什么例子。。。	others
“任何别的生物，可能都不会对同类做出这样的事情来仅仅为了取乐。” 不是这样的，朋友。哺乳动物的同类相残行为相当普遍，一群猩猩会了为争夺领地有计划的残杀、谋害另一群猩猩。狮子会为了争夺配偶咬死其他母狮的孩子。鬣狗会为了争取领袖地位杀死老的首领。至于其他种属，更是无需代言。人类社会可能是这个星球上唯一懂得自律的族群，因为我们有道德感、价值观和法律。人性是复杂的，不能简单的用AB面来做判断。一个通常意义上的好人，也可能经不住诱惑做点恶心事儿。一个loser或者混混，也可能在一瞬间感情冲动做出舍己救人的义行。认识自身的缺陷并不是一件坏事，有这样的自我审视，才能反省和改正。	“仅仅是为了取乐”几个字你忽略了。	干坏事可以是多重目的，可能是为了金钱、地位、性的获得，也可能是为了你说的“仅仅是为了取乐”。	others
首先，你的例子渣的不行。银行如果摆一堆钱在外面绝对比守卫森严被抢的概率高，这个不用讨论了吧其次，银行的钱是银行的，它想怎么放，随意。你的身体是你自己的，你想怎么打扮怎么玩，也随意。只是危险系数提升，我也只是劝你们小心而已。我不同意@孙召忠 的“她们不值得同情”，但我依然赞同他的观点，大家该小心，我也知道站在电线杆旁没多大危险，不过我还是尽量会远一些。还有，上面有些人，自己逻辑有问题绕自己也就罢了，上来直接戳别人，无法理解。最后重申，我从来不认为，强奸者，无罪或者该轻判，我相信大家该是一样的。	奥对还有我说的保护是指关于道德上的保护	这个回答是根据孙召忠的回答写的，我的回复也是相关这个。我们就根本没有在讨论侵犯者是不是该谴责，是不是有罪的问题好吗？这根本就是默认的。没有人为犯罪者洗地，我们在讨论女性到底需不需要保护自己，因为自己的行为诱发的犯罪值不值得同情的问题…………犯罪者是谁该判几年应不应当受到谴责都不是讨论的话题吧？	others
对啊哈哈哈哈他是深大的嘛	豪哥牛逼哈哈，我想加你微信哈哈	好	happy
我看了一下他说道给不起未来摩羯座还是很看重物质的或者说他很希望自己能格尼一个幸福的家庭很有责任感的不会轻易承诺什么怕2个人都伤害所以你要是认准了就好好和他谈针对他担心的问题如果他对你一样有感觉会有改观的	好的··谢谢lz那我好好想想我的心那··快成玻璃钢了那对于拉黑他q又加回来mjn会不会介意··或是什么想法	呵呵好吧我沉淀沉淀真心谢谢lz赐教那	happy
年级主任，不过是b部的	我们班主任hhh	哦哦	happy
看到他你凌乱想说点神马吗	我擦	嘻嘻好看不	happy
坐标不是问题随时我可以走	真羡慕你这种不顾一切的心态现在搬砖搬的一贫如洗姑娘你应该相亲啊	是啊到哪儿相呢	others
上车了，然后被拉到郊区。没喝酒，我很小心的。包括第一个朋友被迷奸也不是 在夜店， 是他的一个女朋友约他去家里尝酒，然后下药，老公上去。	你朋友警惕心有点弱，你的话车牌号记下跟家里或朋友保持联络很重要	朋友那事更没法警惕，你的熟朋友约你去他家吃饭，你能怎么警惕呢	others
“影响富人家庭小孩智力的因素中，基因成分占70%，而影响穷人家庭小孩智力的因素中，基因只占10%”  请教作者 这里将“智力”改为“后天的成功表现”会不会更加合适？  影响智力（智商）的成份应该和更多的父母本身的基因有关系 而不是和周围的环境有关系 否则这个人聪明不聪明就和家里是否富裕挂钩了 若真是如此  那么为何很多有钱人家的小朋友这么笨。。。  此外 作者后面的解释也恰好论证了 “富人家的孩子可以随心所欲的去依靠自己的基因而表现 穷人家的孩子则不可以” 因此 是否作者的观点可以被阐述为 “基因优势能否被最大化的表达反而要依靠外界的物质条件”？  Ps：我来自中产家庭 感谢作者 ：）	你可以看看这个答案 	哈哈哈 大部分辩论的结局都是“定义战”       ：）	happy
不是这样吗/*123456789*/	这一般是多行注释.	哈哈哈哈。	happy
我总觉着像我这样的女的是不是找不到对象	你赶紧娶个回家吧	其实我娶了好多个哈哈哈哈	happy
3%其实秒杀很多人了。。都特么科班出身某易锋，某爽什么的也都出道多少年了啊，还没有我发小6岁在他爸妈面前演技好	某易峰不是科班出身啊	没注意过。。不过他好像出道好多好多年了。。算“老戏骨”了应该	others
狮子女天蝎男吵架了怎么办	天蝎什么原因吵架	就是他觉得我做的不合适我觉得他做的不合适就吵起来了或者我说了一句话他就不开心了我看到他不开心我就想生气	sad
您做堂食还是外卖？	堂食，三层楼两个店面共计500+平米。第一次做，摊子搞大了，力不从心。	原来如此。	others
诶。城管不是开皮卡的吗	那五菱宏光是什么意思？	容量大	others
巴黎第一到第十三大学，巴黎高等师范学校，巴黎政治学院等表示赞成	这个苏联也是跟法国学的	对的，根源是几次革命后法国对高等教育制度的改革	others
转会窗之前最有意思的事就是维特塞尔转会尤文失败 维特塞尔早上10点就到了都灵，还通过了尤文的体检，维特塞尔还按耐不住兴奋在推特上自宣加盟尤文，结果泽尼特找各种借口比如找个合适的替代者之类的把转会一直拖到23点，然后双方谈崩，维特塞尔在都灵等了13个小时转会没成，泽尼特最绝的是快到24点转会截止的时候告诉尤文他们找好替代者，但是剩下的时间根本不够完成转会的，转会流产。 迪马济奥之后接受采访时说泽尼特这么干就是故意的，因为对尤文和维特塞尔非常不满（报价低？），所以之后的一系列行为就是在报复	我抬开了一个十分不好的头	我说888活该，别以为抠门是绝活。名声臭了比什么都重要，别人知道你有钱再怎么装孙子都没用。	angry
互联网时代了，大姐，资源越来越多，信息越来越爆炸，你不行完全就是你自己的问题	互联网时代了，大哥，您没有当上国家主席，完全是您自己的问题	6666666	happy
没事大家都这么熟了	啧啧我脸皮不厚换个话题吧	原来你是开玩笑的真伤心	sad
要吧！你没打过吗	帮老公打过，算？	这个不算吧！你22岁之前自慰过吗	others
回复 穿红衣服的小子弹 ：所以到最后我也不知道我们究竟想讨论什么了。是恶的定义?是罪刑的多少?是为钱期望杀死配偶人数的多少?杀妻杀夫分不分激情杀人?其实到现在连比较标准限定范围都没出来，当然无从探讨了。	我是想说，你觉得女性为钱弄死配偶的，比男的多，是个认知是不正确的。尤其是基于这篇答案，你这个观念更有失偏颇，毕竟文中的女性都没有杀人，只是存侥幸心理希望她们的老公死。而且有句话说，再恩爱的夫妻，也有想掐死对方的时候，所以做这种调查是没有意义的。杀人肯定是分激情杀人的，有预谋的当然就不叫激情杀人了，跟杀妻杀夫没啥关系。	首先，你不能证明我的观点不正确，我当然没有数据，但是目测你也没有。只能说我不一定正确，但也可能是正确的。在这方面我们两者目前还是一样的。第二，我感觉女性做这些事多一些并不代表我歧视女性，我还说男性强奸的多呢!后者就不会有人反驳吧!第三，你看过的杀妻案是有预谋得多还是激情杀人比较多?恐怕是后者比较多吧!第四，你用杂志做例子并没有代表性。杂志毕竟不是卷宗，也许很多杀夫案没有参考价值所以没有录入杂志呢?你只能证明男性犯罪执行力强，并不能代表数目就多。	others
这里有个老实人，大家快欺负她	我看你是被人忽悠瘸了，假如说台积电倒了，等着三星和美国占领半导体市场？	不给电，台积电自然会搬到大陆	others
没有男神好忧桑求男神暗恋啊	发了个很骚的标题然后继续装纯	说中了你太虚伪了除非你跟我约	others
情趣对方问想我没怎么回答他比较好玩点	您好我现在不在一会儿再和您联系	哈哈哈哈短信这么发真的要笑了	happy
西安萌妹子都这样	我可能是个假西安人	🌝	happy
做思科的路过……文中居然没有提过我大思科，伤心！毕竟最危险的是我大思科啊！可替代性太强，28势头又猛……抱团痛哭	华为、中兴、HP（3COM被HP收购了）哪个都够Cisco喝一壶的。	华为，华三还有些作为，中兴只能是呵呵了。	angry
我用了几十张的磐雷470，一年了，坏了两张，质量不错。	就是这个1080核心不知道是不是和小影霸一样是es版的，目前还没人拆。	核心肯定不假。小厂没有品牌，价格肯定低的。大家怕质量问题。	others
真的不懂这种yy段子写来有什么意思啦。首先，非医学生没有基础医学课程背景，蹭外科课绝对是一点都听不懂的。好啦就算楼主天赋异禀。其次，外科学这门课从来都是各大附属医院抽调医生上课的，通常骨科大夫上骨科章节，肝胆外科大夫上肝胆外科章节。一个普外科副主任能上一整学期外科学？你朋友哪个医学院这么缺人上课？？？普外科副主任醉心教学都不用带组做手术的哦？？？何况没有人管“外科学”叫“外科医学”，估计楼主是人卫出的教科书都没摸过吧。最后，能当普外科副主任的人，没有45也有40岁了，你姐真够可以的。利益相关：普外科研究生在读。	我师兄也是副主任兼副教授，而且神经外科，也才30出头，有那么一部分人，25岁博士毕业留医院，奋斗十年，发几篇有水平的sci，也是可以的	副主任和副主任医师～不一样哦～副高有何难呢？	others
求视频名字，我也想看(⊙o⊙)	不会放链接，直接去b站搜“亮剑：10大有趣镜头，依然无法阻止它成为经典！”就可以了，三天前刚发的，比这篇文章早，而且上面的白字标注都没改，所以就认出来了。up主还是比较用心的	多谢多谢😄😄	happy
封建社会下担任官职，爱情思念就都是封建礼教？你也太可笑了，你知道封建礼教是什么吗？弟子规中充斥着对父母的愚孝，不平等的等级观念，这叫封建礼教。岳阳楼记是叫仕途没错，但你连醉翁亭记都要硬扯仕途，也是厉害，通篇都是寄情山水，难不成现代人寄情山水也是重温封建礼教？真的不知所云	人家可是希望在封建社会中努力高升的哦。	你还是搞清楚处于封建社会和宣扬封建礼教之间的区别吧，在这偷换概念颠倒是非，简直恬不知耻	angry
包工程那个不可取吧，这是在教人学坏啊，另外想问下楼主现在身体怎么样，你觉得透支身体去工作值得吗？	没透支啊。。。很好啊。。。	好吧，看来我对透支身体理解得太狭隘了	others
妹子想开点我何你一样也是刚被分手	是吧有时恨小三去勾引有时恨男人不坚定有时恨自己还被影响	把那个男人想成一个坏人这样比较好接受真的想想他对你的坏想想他多少次让你伤心失望最可气的是明明他知道这么做你会哭还照样这样去做然后想到3呵呵她有什么了不起的她过得无非是你之前过过的日子而已以后再被这个男人折磨的痛苦为这个男人哭被这个男人气得要死要活的就是那个三儿了咱们可算解脱了再也不用过这种日子了应该庆幸而不是难过	others
美国精英本身就是资本家极其为其服务群体，中国另外一种情况不说了	因为他们自己就是资本家，他们是为自己服务，不为资本服务，大资本家在他们面前不一样被控制。按你的意思，越大的资本家政治实力越强，可现实是最大的资本，苹果谷歌微软，都实际被政府指挥和控制	微软和谷歌只是公司，代表不了资本家，你如果那资本家理解成这些，是错的。	others
杨天宝。。。。	为啥叫杨天宝。。	angelababy 天使宝贝	others
社会信任感的缺失，政府绝对要背锅，而且责无旁贷	你高兴就好键盘侠	我是自己了解过为什么会走到这一步的，你呢？谁是键盘侠？	angry
蓝后就没有蓝后了你是谁哈哈	伤心我经常看到你啦那小眼睛画的太印象深刻了	美图秀秀来一个我好像活跃于各种组才发觉眼睛好重要啊就像明星出去怕被认出来戴墨镜就好了一样	others
安	收到你明信片了祝福的话让我蛋疼乳酸啊	我知道我很贴心不用夸我哈哈哈哈哈哈哈哈哈哈哈	happy
求助啊c20和果酸面霜好人一生平安	c20是猛药皮肤如果一开始不耐受会爆豆果酸同样也是猛药啊我之前用果酸不耐受狂过敏爆豆超可怕不过大概过了一个星期还是两个星期好了然后再刷酸皮肤就特别嫩但是闭口还是有而且皮肤变的略薄干但是还是有闭口摔	哈哈和你一样啊现在还是会长痘啊不过想比以前算好的了	happy
有点鸡汤味……	你这智商从哪看出来的	你又不认识我……为毛说我智商低？	angry
所以说最靠得住的还是完善的养老体制。	以目前的形式来看，人口结构根本保证不了多么完善的养老体制，老人随着医疗技术的提升越来越多，年轻人身体健康还不太好，多数处于亚健康状态，社会局不是估算2035年养老金告罄吗，拿什么支撑养老	养老金那个都辟谣了，完善的体制也不是就要一蹴而就啊，老话说拿人钱财替人消灾，最起码养老机构和护工要有相应的切实可行监督和运作体制，让有钱的老人和有人的老人先有个有质量的晚年生活。	others
丢个GMS安装器在桌面上让他们自己下载安装。	把便利變成複雜的智能機，就很不智能嘛，為什麼不選擇別的品牌呢？	欧盟做梦都想建立自己的互联网生态，和欧洲本土企业合作是个不错的主意。	others
干了你老婆这么久你都不肯声你个low逼这么怂，好无聊，我继续草你全家女性去了	不管你这傻b怎么叫，今天我就把你爸妈操，油门一轰就变肉泥，拿回家做饼笑嘻嘻。	low逼继续骂，反正你的话我都不会看，让你这种low逼网上发泄下也是应该的，现实里混的这么惨了网上当然要找找存在感	angry
跟劳动力多少没关系，跟懂事不懂事有关系	从他们的角度看，也许是陪伴，也许是重视，反正不会想到这是被否决的直接原因！	陪伴可以在公司楼下等的	others
看了你这句话我还是没看懂请问我的智商是不是被狗吃了求解答	你不是一个人也就是说她的一条微博里包含了三个讯息但是完全没看懂在调侃什么啊调侃点在哪里	这张海报的最后是韩寒北方那句话是韩寒女朋友说的调侃的是郭敬明和韩寒	others
并不是说发展职业体育一定要有群众基础，而是职业体育需要有自己的商业运作。西方国家很典型的例子就是马术，民众里马术的普及是极低的，但是职业马术运动在欧洲却很火爆。民众虽然不玩马术，但是喜欢去现场看马术，职业马术走着完善的商业运作，不需要国家扶持。换句话说，如果职业马术在欧洲无法形成良性的商业运作，国家政府也不会强行扶持，而是让他自然死亡。这就是跟中国的区别。	那么西方国家举重跳水女垒这种项目靠的什么参加国际比赛，卖肾？卖裸照？打工的工钱？你不会真以为西方国家的专业队伍都是自负盈亏自生自灭的吧？好了，你的观点就是，国家不该拿钱，钱拿太多了，有些项目没必要，这钱投其他地方更好。我只能说，真庆幸还有很多人不这么想，国家不这么认为，财政预算没有这么做。	你看荷兰有多少职业举重运动员？这本来就是商业市场调节后的平衡点。一个职业运动项目商业没法良性运作，这个行业的人就会自然去谋求新的职业转行。	others
周末了火气咋能大呢想想明天就休息了能降降火	你到好有活动有妹子当然开心了	我出门会吓人估计会被打	others
首先，关于心脏病的部分谢谢你的补充，这方面确实持保留意见。但关于“拳打脚踢”那部分，请不要怪我语气冲动了。第一，教授的肋骨断了六根，胸骨骨折，什么样的CPR会弄断6根肋骨！第二，肋骨和胸骨只是教授受伤的部分，颅脑外伤才是医院给出的死亡原因。第三，即使是将行凶者罪行描述极轻的判决书，也承认“打斗过程中，都晓元拳击对方面部并脚踢其对方腹部，致对方鼻部流血的事实有都晓元的供述、都晓元儿子、陈志明妻子以及另两人的证言以及刑事摄影照片、公安机关出具的接警经过、工作情况说明、监控录像等证据证实。”我不明白你为何要无视这些再明显不过的叙述，竟然连被殴打这个事实都要怀疑	被拳打脚踢致死，和发生身体冲突并且吃了亏，这完全是两码事。我想问一个问题，A和B两个年轻人打了一架，B吃亏较多，之后B回家路上出意外死了(比如掉河里淹死了)，当然，这肯定有A的责任，因为不打架B可能心情正常，走路会更注意。然后，A要被判无期徒刑？如果不是，判多少年合适？20年？10年？法律的意义在于一视同仁，而并不能只讲感情分 ：）	另外，你仅凭身边一个同学的例子，就试图反推“她心脏有问题没检查出来，所以教授也是类似情况”，这种逻辑完全不成立。首先，教授早年有没有过心脏问题，没有人知道，但根据可查的体检结果，没有就是没有。这就是能看到的证据，那么我们据此质疑尸检结果时，也就完全不能臆想出一个心脏病给他安上。	others
我们都爱过有了女朋友的男人	哪有那么惨好吃好喝晚饭走起啊亲	真的好难过啊好久没喜欢一个人可是这么虐心看到有人回复更想哭啊	sad
sb,尝到甜头又改口了	SB,是你对你自己的自我评价吧！	15级的肠胃竟然如此弱智！	angry
我觉得还差得远啊，诺贝尔是要研究新式炸药，但叔丁基锂的合成已经很成熟了。	诺贝尔当年造炸药，实验过程不知炸了多少次	诺贝尔是当年没有成熟的炸药技术，要实验新的炸药，整天炸。现在叔丁基锂的制备技术很成熟了，一次性做一千克出来就是作死，并没有探索的意义	others
这个赌本得好几百万吧，赢40万不算多	不用，三场输如果是让球外加一球不进很可能乘起来赔率到60-100了，他可能扔进去不到10000	666	others
你开心就好。。我用心灵在画画。。	哈哈哈哈 已关注！	谢谢。。哈哈	happy
刚被甩了求安慰tt	快到了在二环堵车呢	哈哈谢啦3	happy
你这就不懂了！你肯定没孩子	哈  最终能进行阶级分层的就是大学教育 我跟你聊宏观你跟我聊个人  不好意思格局不同 不再交谈	你没懂我的意思。你在西安上公立中小学是上不了好大学的，根本到不了讨论大学那一步。	others
你特么活在意淫的世界里吧 没了键盘就是条狗都不如	你妈的大水比被av棒操哭的时候你特么沙比在摇篮里闹不知道？你回家再问问你妈现在的狗比是不是当年被棒子操松的	你他妈就是个没有了网络都不能吱声的狗逼玩意 除了会咬人还会干嘛。有本事出来打一架 水里火里老子都不怂你你还是先回家问问你爸干嘛不把你射墙上。等着爸爸把你人肉出来 看不打死你 你别怂	angry
所以你是女生？	是，我是女人，我生了女儿，不要二胎。我离婚了。带着我的小姑娘，不会再婚。	佩服你妈妈也佩服你！女儿挺好的，贴心小棉袄	happy
你是想告诉我所谓越弱的就是越善良的你良心上过不去么	不是不是怎么说打个比方就是坦克整不死我但是我会被自行车碾死这样	啊理解了就是牛逼的鸟基本上不鸟你不把你当对手因为激不起他们的斗志而那些佝偻蚂蚁却很容易消耗掉你的精力我这个解读如何亲	others
好耶那奥体cgv怎么样	好呀离我最近咱俩就是小伙伴啦我射手座特好说话	我金牛座也特别好说话要是你岁数比较大就更完美了哈哈微信号豆油我吧	happy
头像帅吗😊？	这是妞妞！我的头像也是呀！你居然没看出来	妞妞是什么人物？	others
→_→把包子一锤变成了饼就由一块变成两三块了……总结你说的显示惨淡不堪，但是人还是继续过活	所以说，回到最开始的那个点，中国经济不会崩溃，但是承受这些经济问题遗留下来的阵痛是我们这些百姓群体。本次话题完结，谢谢你与我一起交流。	谢谢，这才是正解。	others
马桶那个吓到我了	我刚好在上厕所	注意菊部🤣🤣	happy
我不明白，既然已经毫无疑问是骗子行为了，为什么公安不立案侦办！	因为骗每个人几百块，几百块不能立案	嗯，确实有道理！当下社会情况，如果几百元都立案，公安肯定要累坏的。	others
2呢对本专业来说很好了呢	我们班有几个同学上学期去考b2只有一个过了而且她们都比我学习好我今年八月考还打算上塞万的补习班呢不然都怕过不了惭愧呀	啊这么难呢加油吧	sad
手哥我爆照了	我裤子都脱了你就给我看这个	哎呀手哥你来啦你不来我都不想爆照了我以为你看不见呢嘿嘿好了我爆身份证可以吗手哥哈哈哈我好激动啊d	happy
文章我没有读完，但是基本上明白情况了。请问答主的所在地省份？我们有可能能够帮到您。如果答主需要帮助可以直接给我发消息，我晚上九点下班到凌晨2点都有时间看消息。打住可以选择相信我们，我只能告诉你我们是共产党，其他的私下详谈。	四川。我里面提到了地震。当时管档案的说我要是说坏了他们可以说是地震搬动的时候不小心弄坏的。	很遗憾我们的区域不是四川。但您可以私信将地点明确到市州一级，我们可以帮忙联系到您那边的同事。或者您可以拨02812388直接反映。有更多情况您可以直接私信给我们了解。	others
同九育，汝何秀	阁下何不乘风去，扶摇直上九万里	嗯，，，买不起机票……	others
所以早一点分辨论点不同可以帮你少打很多字	那是你的问题	祝你婚姻幸福anyway	happy
安着呢，还挺好😂😂😂	我小时候在妹子面前一下子踩错楼梯了。。。然后。。。。说多了都是泪。。。	😂	happy
土澳那是排共，不是排华，两回事儿！	额...我是听说澳洲人比较排外，而且那一片对华裔都不怎么友好吧🐶	我在澳洲，一切正常！	others
看来我对cs的兴趣有点站不住脚了，答主点醒梦中人。	什么是兴趣？	想看看计算机的世界	others
